id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long",pob_2015,pob_2016,pob_2017,pob_2018,pob_2019,pob_2020,pob_2021,pob_2022,pob_2023,pob_2024,pob_2025
448,6-448,Laprida,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.5442260048262,-60.8010273268496",10606,10668,10728,10788,10847,10905,10962,11018,11074,11128,11182
455,6-455,Las Flores,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.0142687585963,-59.0998639762415",24244,24272,24300,24328,24355,24382,24410,24436,24462,24487,24513
595,6-595,Olavarría,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.8938423238641,-60.3231937151178",116473,117230,117977,118715,119441,120154,120858,121552,122236,122911,123574
672,6-672,Rauch,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.7744147069731,-59.0882891430295",15743,15830,15916,16000,16083,16165,16246,16325,16404,16481,16557
798,6-798,Tapalqué,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.356235979207,-60.0251124031149",9686,9772,9856,9940,10022,10103,10183,10262,10340,10416,10491
854,6-854,Veinticinco de Mayo,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.4324710847727,-60.1715593513829",36627,36718,36808,36897,36985,37071,37156,37240,37323,37405,37485
21,6-21,Alberti,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.0315746233701,-60.2802860161867",10875,10900,10924,10948,10972,10995,11018,11041,11064,11085,11107
112,6-112,Bragado,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1155662797599,-60.4896499898551",41935,41978,42020,42062,42103,42144,42184,42223,42262,42301,42338
224,6-224,Chivilcoy,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.8968958292791,-60.0190913736679",66605,66976,67343,67705,68062,68412,68758,69099,69435,69766,70091
483,6-483,Lobos,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1854255524473,-59.0978341614174",38208,38557,38900,39239,39573,39901,40225,40544,40858,41168,41473
532,6-532,Mercedes,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.6507332135669,-59.4313874409776",65844,66245,66640,67030,67415,67793,68165,68532,68895,69252,69603
574,6-574,Navarro,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.0059067203188,-59.278283983419",17712,17815,17914,18013,18110,18206,18301,18394,18485,18575,18665
693,6-693,Roque Pérez,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.4005763100486,-59.3348321512827",13151,13298,13444,13587,13726,13863,13998,14129,14259,14386,14511
707,6-707,Saladillo,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.6388389850311,-59.7793770328238",33839,34131,34420,34705,34985,35261,35533,35802,36066,36326,36583
784,6-784,Suipacha,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.7688145912203,-59.6868293550907",10846,10983,11117,11250,11382,11510,11637,11763,11886,12008,12128
98,6-98,Berisso,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.8702938013178,-57.8833253400923",93015,93773,94522,95259,95987,96701,97406,98101,98786,99461,100126
119,6-119,Brandsen,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.167959424188,-58.237330232704",28828,29279,29725,30164,30597,31023,31442,31856,32263,32665,33061
134,6-134,Cañuelas,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.0538388361933,-58.7619911854448",57673,58752,59817,60867,61903,62921,63923,64913,65888,66849,67795
168,6-168,Castelli,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.0909178515776,-57.8074789990565",8478,8517,8556,8595,8633,8671,8708,8744,8781,8816,8851
217,6-217,Chascomús,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.5742063886139,-58.0112814410856",38714,39068,39417,39760,40100,40434,40762,41086,41406,41720,42030
238,6-238,Dolores,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.3153891837638,-57.6754615552065",28007,28152,28296,28438,28576,28714,28849,28982,29113,29242,29370
245,6-245,Ensenada,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.862418018177,-57.9089420564307",59532,59995,60452,60903,61346,61783,62214,62638,63057,63469,63874
301,6-301,General Belgrano,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.7656761989974,-58.4971632728667",18414,18594,18773,18949,19123,19293,19461,19627,19790,19951,20110
343,6-343,General Paz,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.5164055811526,-58.3188155127257",11536,11583,11629,11674,11719,11763,11806,11849,11891,11932,11973
441,6-441,La Plata,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.9408890719731,-58.0300203348705",687378,692779,698164,703504,708733,713947,719013,724010,728912,733741,738505
466,6-466,Lezama,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.8728655653935,-57.8969843395556",6008,6072,6135,6198,6259,6320,6379,6438,6496,6553,6610
505,6-505,Magdalena,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.0807393716246,-57.5176018747267",19883,20041,20195,20346,20493,20613,20729,20842,20953,21059,21163
547,6-547,Monte,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.4410438883647,-58.8034514462272",22482,22832,23127,23396,23699,23896,24198,24485,24796,25103,25393
630,6-630,Pila,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.0041852531469,-58.1410676867243",3821,3851,3880,3909,3937,3966,3994,4021,4048,4074,4100
648,6-648,Presidente Perón,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.9179865320528,-58.3821570397156",93960,96420,98847,101239,103597,105918,108203,110457,112680,114868,117024
655,6-655,Punta Indio,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.3874096777144,-57.338171581753",10282,10343,10404,10463,10521,10579,10635,10692,10747,10802,10855
778,6-778,San Vicente,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.0259018141174,-58.4224036114375",68634,70388,72118,73825,75506,77161,78791,80398,81983,83544,85082
812,6-812,Tordillo,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.5208605076063,-57.3249387125515",1794,1796,1799,1801,1804,1807,1809,1812,1814,1816,1818
427,6-427,La Matanza,Región XII,AMBA,La Matanza,La Matanza,"-34.6811417569864,-58.5637386018549",2037428,2087359,2136695,2185597,2233860,2281194,2327874,2374149,2419872,2464843,2509547
